"filename", "language", "Markdown", "C#", "MSBuild", "JSON", "HTTP", "HTML", "XML", "comment", "blank", "total"
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Services\IStudentRepository.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Services\IUserRepository.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Services\StudentRepository.cs", "C#", 0, 87, 0, 0, 0, 0, 0, 0, 19, 106
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Services\UserRepository.cs", "C#", 0, 86, 0, 0, 0, 0, 0, 0, 19, 105
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\Startup.cs", "C#", 0, 94, 0, 0, 0, 0, 0, 2, 14, 110
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\appsettings.Development.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\appsettings.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\bin\Debug\netcoreapp3.1\ClassSchedule.deps.json", "JSON", 0, 0, 0, 4230, 0, 0, 0, 0, 0, 4230
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\bin\Debug\netcoreapp3.1\ClassSchedule.runtimeconfig.dev.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\bin\Debug\netcoreapp3.1\ClassSchedule.runtimeconfig.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\bin\Debug\netcoreapp3.1\Properties\launchSettings.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\bin\Debug\netcoreapp3.1\appsettings.Development.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\bin\Debug\netcoreapp3.1\appsettings.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\http\class.rest", "HTTP", 0, 0, 0, 0, 33, 0, 0, 7, 10, 50
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\http\course.rest", "HTTP", 0, 0, 0, 0, 46, 0, 0, 8, 10, 64
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\http\student.rest", "HTTP", 0, 0, 0, 0, 33, 0, 0, 8, 10, 51
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\http\user.rest", "HTTP", 0, 0, 0, 0, 30, 0, 0, 7, 10, 47
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\obj\ClassSchedule.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 88, 0, 0, 0, 0, 0, 88
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\obj\ClassSchedule.csproj.nuget.g.props", "MSBuild", 0, 0, 21, 0, 0, 0, 0, 0, 0, 21
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\obj\ClassSchedule.csproj.nuget.g.targets", "MSBuild", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\obj\Debug\netcoreapp3.1\ClassSchedule.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 10, 5, 24
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\obj\Debug\netcoreapp3.1\project.razor.json", "JSON", 0, 0, 0, 20524, 0, 0, 0, 0, 0, 20524
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\obj\Debug\netcoreapp3.1\staticwebassets\ClassSchedule.StaticWebAssets.xml", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\obj\project.assets.json", "JSON", 0, 0, 0, 2124, 0, 0, 0, 0, 0, 2124
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\ClassSchedule\wwwroot\index.html", "HTML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\GuidCreater\GuidCreater.csproj", "MSBuild", 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\GuidCreater\Program.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\GuidCreater\bin\Debug\netcoreapp3.1\GuidCreater.deps.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 23
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\GuidCreater\bin\Debug\netcoreapp3.1\GuidCreater.runtimeconfig.dev.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\GuidCreater\bin\Debug\netcoreapp3.1\GuidCreater.runtimeconfig.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\GuidCreater\obj\Debug\netcoreapp3.1\GuidCreater.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 9, 5, 23
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\GuidCreater\obj\GuidCreater.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 0, 0, 65
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\GuidCreater\obj\GuidCreater.csproj.nuget.g.props", "MSBuild", 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\GuidCreater\obj\GuidCreater.csproj.nuget.g.targets", "MSBuild", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\GuidCreater\obj\project.assets.json", "JSON", 0, 0, 0, 72, 0, 0, 0, 0, 0, 72
"f:\LE-ZZGS\202002\workspace\project\ClassSchedule\README.md", "Markdown", 60, 0, 0, 0, 0, 0, 0, 0, 12, 72
"Total", "-", 60, 2714, 72, 27233, 142, 10, 1, 63, 606, 30901
